key_id,season_id,season,tier,division,subdivision,match_id,match_name,team_id,team_name,opponent_id,opponent_name,home_team,away_team,goals_for,goals_against,goal_difference,result,win,lose,draw,points
1,S-1888-1,1888,1,First Division,None,M-1888-1-001,Accrington vs Aston Villa,T-001,Accrington,T-002,Aston Villa,1,0,1,1,0,draw,0,0,1,1
2,S-1888-1,1888,1,First Division,None,M-1888-1-001,Accrington vs Aston Villa,T-002,Aston Villa,T-001,Accrington,0,1,1,1,0,draw,0,0,1,1
3,S-1888-1,1888,1,First Division,None,M-1888-1-002,Accrington vs Blackburn Rovers,T-001,Accrington,T-003,Blackburn Rovers,1,0,0,2,-2,lose,0,1,0,0
4,S-1888-1,1888,1,First Division,None,M-1888-1-002,Accrington vs Blackburn Rovers,T-003,Blackburn Rovers,T-001,Accrington,0,1,2,0,2,win,1,0,0,2
5,S-1888-1,1888,1,First Division,None,M-1888-1-003,Accrington vs Bolton Wanderers,T-001,Accrington,T-004,Bolton Wanderers,1,0,2,3,-1,lose,0,1,0,0
6,S-1888-1,1888,1,First Division,None,M-1888-1-003,Accrington vs Bolton Wanderers,T-004,Bolton Wanderers,T-001,Accrington,0,1,3,2,1,win,1,0,0,2
7,S-1888-1,1888,1,First Division,None,M-1888-1-004,Accrington vs Burnley,T-001,Accrington,T-005,Burnley,1,0,5,1,4,win,1,0,0,2
8,S-1888-1,1888,1,First Division,None,M-1888-1-004,Accrington vs Burnley,T-005,Burnley,T-001,Accrington,0,1,1,5,-4,lose,0,1,0,0
9,S-1888-1,1888,1,First Division,None,M-1888-1-005,Accrington vs Derby County,T-001,Accrington,T-006,Derby County,1,0,6,2,4,win,1,0,0,2
10,S-1888-1,1888,1,First Division,None,M-1888-1-005,Accrington vs Derby County,T-006,Derby County,T-001,Accrington,0,1,2,6,-4,lose,0,1,0,0
11,S-1888-1,1888,1,First Division,None,M-1888-1-006,Accrington vs Everton,T-001,Accrington,T-007,Everton,1,0,3,1,2,win,1,0,0,2
12,S-1888-1,1888,1,First Division,None,M-1888-1-006,Accrington vs Everton,T-007,Everton,T-001,Accrington,0,1,1,3,-2,lose,0,1,0,0
13,S-1888-1,1888,1,First Division,None,M-1888-1-007,Accrington vs Notts County,T-001,Accrington,T-008,Notts County,1,0,1,2,-1,lose,0,1,0,0
14,S-1888-1,1888,1,First Division,None,M-1888-1-007,Accrington vs Notts County,T-008,Notts County,T-001,Accrington,0,1,2,1,1,win,1,0,0,2
15,S-1888-1,1888,1,First Division,None,M-1888-1-008,Accrington vs Preston North End,T-001,Accrington,T-009,Preston North End,1,0,0,0,0,draw,0,0,1,1
16,S-1888-1,1888,1,First Division,None,M-1888-1-008,Accrington vs Preston North End,T-009,Preston North End,T-001,Accrington,0,1,0,0,0,draw,0,0,1,1
17,S-1888-1,1888,1,First Division,None,M-1888-1-009,Accrington vs Stoke,T-001,Accrington,T-010,Stoke,1,0,2,0,2,win,1,0,0,2
18,S-1888-1,1888,1,First Division,None,M-1888-1-009,Accrington vs Stoke,T-010,Stoke,T-001,Accrington,0,1,0,2,-2,lose,0,1,0,0
19,S-1888-1,1888,1,First Division,None,M-1888-1-010,Accrington vs West Bromwich Albion,T-001,Accrington,T-011,West Bromwich Albion,1,0,2,1,1,win,1,0,0,2
20,S-1888-1,1888,1,First Division,None,M-1888-1-010,Accrington vs West Bromwich Albion,T-011,West Bromwich Albion,T-001,Accrington,0,1,1,2,-1,lose,0,1,0,0
21,S-1888-1,1888,1,First Division,None,M-1888-1-011,Accrington vs Wolverhampton Wanderers,T-001,Accrington,T-012,Wolverhampton Wanderers,1,0,4,4,0,draw,0,0,1,1
22,S-1888-1,1888,1,First Division,None,M-1888-1-011,Accrington vs Wolverhampton Wanderers,T-012,Wolverhampton Wanderers,T-001,Accrington,0,1,4,4,0,draw,0,0,1,1
23,S-1888-1,1888,1,First Division,None,M-1888-1-012,Aston Villa vs Accrington,T-002,Aston Villa,T-001,Accrington,1,0,4,3,1,win,1,0,0,2
24,S-1888-1,1888,1,First Division,None,M-1888-1-012,Aston Villa vs Accrington,T-001,Accrington,T-002,Aston Villa,0,1,3,4,-1,lose,0,1,0,0
25,S-1888-1,1888,1,First Division,None,M-1888-1-013,Aston Villa vs Blackburn Rovers,T-002,Aston Villa,T-003,Blackburn Rovers,1,0,6,1,5,win,1,0,0,2
26,S-1888-1,1888,1,First Division,None,M-1888-1-013,Aston Villa vs Blackburn Rovers,T-003,Blackburn Rovers,T-002,Aston Villa,0,1,1,6,-5,lose,0,1,0,0
27,S-1888-1,1888,1,First Division,None,M-1888-1-014,Aston Villa vs Bolton Wanderers,T-002,Aston Villa,T-004,Bolton Wanderers,1,0,6,2,4,win,1,0,0,2
28,S-1888-1,1888,1,First Division,None,M-1888-1-014,Aston Villa vs Bolton Wanderers,T-004,Bolton Wanderers,T-002,Aston Villa,0,1,2,6,-4,lose,0,1,0,0
29,S-1888-1,1888,1,First Division,None,M-1888-1-015,Aston Villa vs Burnley,T-002,Aston Villa,T-005,Burnley,1,0,4,2,2,win,1,0,0,2
30,S-1888-1,1888,1,First Division,None,M-1888-1-015,Aston Villa vs Burnley,T-005,Burnley,T-002,Aston Villa,0,1,2,4,-2,lose,0,1,0,0
