key_id,season_id,season,tier,division,subdivision,match_id,match_name,home_team_id,home_team_name,away_team_id,away_team_name,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,result,home_team_win,away_team_win,draw
1,S-1888-1,1888,1,First Division,None,M-1888-1-001,Accrington vs Aston Villa,T-001,Accrington,T-002,Aston Villa,1-1,1,1,0,0,draw,0,0,1
2,S-1888-1,1888,1,First Division,None,M-1888-1-002,Accrington vs Blackburn Rovers,T-001,Accrington,T-003,Blackburn Rovers,0-2,0,2,-2,2,away team win,0,1,0
3,S-1888-1,1888,1,First Division,None,M-1888-1-003,Accrington vs Bolton Wanderers,T-001,Accrington,T-004,Bolton Wanderers,2-3,2,3,-1,1,away team win,0,1,0
4,S-1888-1,1888,1,First Division,None,M-1888-1-004,Accrington vs Burnley,T-001,Accrington,T-005,Burnley,5-1,5,1,4,-4,home team win,1,0,0
5,S-1888-1,1888,1,First Division,None,M-1888-1-005,Accrington vs Derby County,T-001,Accrington,T-006,Derby County,6-2,6,2,4,-4,home team win,1,0,0
6,S-1888-1,1888,1,First Division,None,M-1888-1-006,Accrington vs Everton,T-001,Accrington,T-007,Everton,3-1,3,1,2,-2,home team win,1,0,0
7,S-1888-1,1888,1,First Division,None,M-1888-1-007,Accrington vs Notts County,T-001,Accrington,T-008,Notts County,1-2,1,2,-1,1,away team win,0,1,0
8,S-1888-1,1888,1,First Division,None,M-1888-1-008,Accrington vs Preston North End,T-001,Accrington,T-009,Preston North End,0-0,0,0,0,0,draw,0,0,1
9,S-1888-1,1888,1,First Division,None,M-1888-1-009,Accrington vs Stoke,T-001,Accrington,T-010,Stoke,2-0,2,0,2,-2,home team win,1,0,0
10,S-1888-1,1888,1,First Division,None,M-1888-1-010,Accrington vs West Bromwich Albion,T-001,Accrington,T-011,West Bromwich Albion,2-1,2,1,1,-1,home team win,1,0,0
11,S-1888-1,1888,1,First Division,None,M-1888-1-011,Accrington vs Wolverhampton Wanderers,T-001,Accrington,T-012,Wolverhampton Wanderers,4-4,4,4,0,0,draw,0,0,1
12,S-1888-1,1888,1,First Division,None,M-1888-1-012,Aston Villa vs Accrington,T-002,Aston Villa,T-001,Accrington,4-3,4,3,1,-1,home team win,1,0,0
13,S-1888-1,1888,1,First Division,None,M-1888-1-013,Aston Villa vs Blackburn Rovers,T-002,Aston Villa,T-003,Blackburn Rovers,6-1,6,1,5,-5,home team win,1,0,0
14,S-1888-1,1888,1,First Division,None,M-1888-1-014,Aston Villa vs Bolton Wanderers,T-002,Aston Villa,T-004,Bolton Wanderers,6-2,6,2,4,-4,home team win,1,0,0
15,S-1888-1,1888,1,First Division,None,M-1888-1-015,Aston Villa vs Burnley,T-002,Aston Villa,T-005,Burnley,4-2,4,2,2,-2,home team win,1,0,0
16,S-1888-1,1888,1,First Division,None,M-1888-1-016,Aston Villa vs Derby County,T-002,Aston Villa,T-006,Derby County,4-2,4,2,2,-2,home team win,1,0,0
17,S-1888-1,1888,1,First Division,None,M-1888-1-017,Aston Villa vs Everton,T-002,Aston Villa,T-007,Everton,2-1,2,1,1,-1,home team win,1,0,0
18,S-1888-1,1888,1,First Division,None,M-1888-1-018,Aston Villa vs Notts County,T-002,Aston Villa,T-008,Notts County,9-1,9,1,8,-8,home team win,1,0,0
19,S-1888-1,1888,1,First Division,None,M-1888-1-019,Aston Villa vs Preston North End,T-002,Aston Villa,T-009,Preston North End,0-2,0,2,-2,2,away team win,0,1,0
20,S-1888-1,1888,1,First Division,None,M-1888-1-020,Aston Villa vs Stoke,T-002,Aston Villa,T-010,Stoke,5-1,5,1,4,-4,home team win,1,0,0
21,S-1888-1,1888,1,First Division,None,M-1888-1-021,Aston Villa vs West Bromwich Albion,T-002,Aston Villa,T-011,West Bromwich Albion,2-0,2,0,2,-2,home team win,1,0,0
22,S-1888-1,1888,1,First Division,None,M-1888-1-022,Aston Villa vs Wolverhampton Wanderers,T-002,Aston Villa,T-012,Wolverhampton Wanderers,2-1,2,1,1,-1,home team win,1,0,0
23,S-1888-1,1888,1,First Division,None,M-1888-1-023,Blackburn Rovers vs Accrington,T-003,Blackburn Rovers,T-001,Accrington,5-5,5,5,0,0,draw,0,0,1
24,S-1888-1,1888,1,First Division,None,M-1888-1-024,Blackburn Rovers vs Aston Villa,T-003,Blackburn Rovers,T-002,Aston Villa,5-1,5,1,4,-4,home team win,1,0,0
25,S-1888-1,1888,1,First Division,None,M-1888-1-025,Blackburn Rovers vs Bolton Wanderers,T-003,Blackburn Rovers,T-004,Bolton Wanderers,4-4,4,4,0,0,draw,0,0,1
26,S-1888-1,1888,1,First Division,None,M-1888-1-026,Blackburn Rovers vs Burnley,T-003,Blackburn Rovers,T-005,Burnley,4-2,4,2,2,-2,home team win,1,0,0
27,S-1888-1,1888,1,First Division,None,M-1888-1-027,Blackburn Rovers vs Derby County,T-003,Blackburn Rovers,T-006,Derby County,3-0,3,0,3,-3,home team win,1,0,0
28,S-1888-1,1888,1,First Division,None,M-1888-1-028,Blackburn Rovers vs Everton,T-003,Blackburn Rovers,T-007,Everton,3-0,3,0,3,-3,home team win,1,0,0
29,S-1888-1,1888,1,First Division,None,M-1888-1-029,Blackburn Rovers vs Notts County,T-003,Blackburn Rovers,T-008,Notts County,5-2,5,2,3,-3,home team win,1,0,0
